Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.TP,QUERY.FP,QUERY.UNK,FP.gt,FP.al,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.TP.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP.het_hom_ratio,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,PASS,*,QUAL,151.000000,0.639399,0.693329,0.425874,0.665273,371871,237774,134097,575308,229006,101293,245009,940,95476,.,1.519032,.,1.820652,.,1.383353,.,2.399054,.,.,1.644549,1.48855,.,1.5544
INDEL,*,*,PASS,*,QUAL,152.000000,0.638789,0.693587,0.425471,0.665061,371871,237547,134324,574081,228763,101063,244255,940,95252,.,1.519032,.,1.822298,.,1.382363,.,2.402225,.,.,1.644346,1.4875,.,1.554351
INDEL,*,*,PASS,*,QUAL,153.000000,0.638202,0.693819,0.425123,0.66485,371871,237329,134542,572942,228524,100847,243571,939,95043,.,1.519032,.,1.823603,.,1.38151,.,2.403565,.,.,1.643704,1.486548,.,1.553669
INDEL,*,*,PASS,*,QUAL,154.000000,0.63764,0.694064,0.424751,0.664657,371871,237120,134751,571785,228291,100628,242866,938,94830,.,1.519032,.,1.825967,.,1.380265,.,2.406246,.,.,1.643174,1.485102,.,1.553413
INDEL,*,*,PASS,*,QUAL,155.000000,0.637148,0.694287,0.42435,0.664492,371871,236937,134934,570616,228056,100419,242141,935,94638,.,1.519032,.,1.827591,.,1.379342,.,2.408783,.,.,1.642601,1.484109,.,1.552603
INDEL,*,*,PASS,*,QUAL,156.000000,0.63657,0.694537,0.423981,0.664291,371871,236722,135149,569438,227813,100194,241431,929,94425,.,1.519032,.,1.82914,.,1.378399,.,2.412396,.,.,1.642488,1.483126,.,1.552602
INDEL,*,*,PASS,*,QUAL,157.000000,0.635992,0.694772,0.423598,0.664084,371871,236507,135364,568298,227585,99983,240730,926,94224,.,1.519032,.,1.830057,.,1.377689,.,2.414696,.,.,1.642167,1.482431,.,1.552134
INDEL,*,*,PASS,*,QUAL,158.000000,0.6354,0.694964,0.423109,0.663849,371871,236287,135584,567020,227329,99780,239911,926,94025,.,1.519032,.,1.831522,.,1.37676,.,2.416895,.,.,1.642266,1.481666,.,1.552626
INDEL,*,*,PASS,*,QUAL,159.000000,0.634838,0.695189,0.422682,0.663645,371871,236078,135793,565832,227094,99571,239167,922,93826,.,1.519032,.,1.831767,.,1.376317,.,2.420242,.,.,1.642198,1.481152,.,1.552269
INDEL,*,*,PASS,*,QUAL,160.000000,0.63426,0.695405,0.422322,0.663427,371871,235863,136008,564687,226846,99361,238480,920,93624,.,1.519032,.,1.832261,.,1.375764,.,2.424258,.,.,1.641814,1.48068,.,1.551015
INDEL,*,*,PASS,*,QUAL,161.000000,0.633704,0.69564,0.421971,0.663229,371871,235656,136215,563596,226622,99153,237821,919,93420,.,1.519032,.,1.832589,.,1.375291,.,2.426809,.,.,1.641657,1.480332,.,1.550517
INDEL,*,*,PASS,*,QUAL,162.000000,0.633039,0.695832,0.421605,0.662952,371871,235409,136462,562403,226348,98943,237112,919,93218,.,1.519032,.,1.832537,.,1.37489,.,2.428496,.,.,1.641239,1.480124,.,1.549445
INDEL,*,*,PASS,*,QUAL,163.000000,0.632445,0.696018,0.421241,0.66271,371871,235188,136683,561239,226082,98740,236417,918,93024,.,1.519032,.,1.832409,.,1.374563,.,2.428989,.,.,1.640712,1.480027,.,1.548294
INDEL,*,*,PASS,*,QUAL,164.000000,0.631724,0.696198,0.420877,0.662396,371871,234920,136951,560036,225798,98532,235706,916,92825,.,1.519032,.,1.833219,.,1.373801,.,2.429237,.,.,1.640057,1.479505,.,1.547356
INDEL,*,*,PASS,*,QUAL,165.000000,0.631152,0.696435,0.420518,0.662188,371871,234707,137164,558875,225546,98312,235017,916,92615,.,1.519032,.,1.833489,.,1.37333,.,2.430831,.,.,1.639743,1.479342,.,1.546543
INDEL,*,*,PASS,*,QUAL,166.000000,0.630439,0.696663,0.420216,0.661899,371871,234442,137429,557703,225264,98083,234356,914,92397,.,1.519032,.,1.832053,.,1.373442,.,2.430862,.,.,1.639681,1.479736,.,1.546107
INDEL,*,*,PASS,*,QUAL,167.000000,0.629667,0.696838,0.419953,0.661552,371871,234155,137716,556526,224947,97864,233715,914,92183,.,1.519032,.,1.83053,.,1.373544,.,2.433431,.,.,1.640216,1.480318,.,1.546162
INDEL,*,*,PASS,*,QUAL,168.000000,0.629014,0.697033,0.419643,0.661279,371871,233912,137959,555375,224665,97651,233059,914,91979,.,1.519032,.,1.829577,.,1.373506,.,2.435789,.,.,1.640314,1.480906,.,1.545285
INDEL,*,*,PASS,*,QUAL,169.000000,0.628239,0.697191,0.419361,0.660922,371871,233624,138247,554200,224349,97441,232410,914,91774,.,1.519032,.,1.827982,.,1.373645,.,2.437583,.,.,1.640669,1.481582,.,1.545
INDEL,*,*,PASS,*,QUAL,170.000000,0.627503,0.697369,0.419084,0.660593,371871,233350,138521,553044,224045,97227,231772,913,91568,.,1.519032,.,1.825721,.,1.374074,.,2.439402,.,.,1.640942,1.482623,.,1.544171
INDEL,*,*,PASS,*,QUAL,171.000000,0.626782,0.697523,0.418724,0.660263,371871,233082,138789,551841,223746,97026,231069,913,91374,.,1.519032,.,1.824037,.,1.374291,.,2.439682,.,.,1.640861,1.483233,.,1.543299
INDEL,*,*,PASS,*,QUAL,172.000000,0.625943,0.69763,0.418418,0.659845,371871,232770,139101,550658,223418,96835,230405,913,91186,.,1.519032,.,1.821149,.,1.374928,.,2.442009,.,.,1.641518,1.484421,.,1.542967
INDEL,*,*,PASS,*,QUAL,173.000000,0.625182,0.697847,0.418172,0.659519,371871,232487,139384,549491,223108,96601,229782,911,90967,.,1.519032,.,1.819612,.,1.375072,.,2.443328,.,.,1.64209,1.485137,.,1.543315
INDEL,*,*,PASS,*,QUAL,174.000000,0.624354,0.697946,0.417901,0.659102,371871,232179,139692,548328,222771,96410,229147,909,90787,.,1.519032,.,1.817429,.,1.375437,.,2.445818,.,.,1.642686,1.486213,.,1.542933
INDEL,*,*,PASS,*,QUAL,175.000000,0.623585,0.698066,0.417629,0.658726,371871,231893,139978,547198,222454,96218,228526,909,90599,.,1.519032,.,1.815414,.,1.375779,.,2.445764,.,.,1.643054,1.487054,.,1.542906
INDEL,*,*,PASS,*,QUAL,176.000000,0.622832,0.698188,0.41726,0.658361,371871,231613,140258,546033,222160,96035,227838,909,90421,.,1.519032,.,1.815006,.,1.375477,.,2.447131,.,.,1.642955,1.487231,.,1.542146
INDEL,*,*,PASS,*,QUAL,177.000000,0.62206,0.698329,0.416979,0.657991,371871,231326,140545,544920,221859,95841,227220,909,90235,.,1.519032,.,1.813759,.,1.375507,.,2.447096,.,.,1.643248,1.48806,.,1.541975
INDEL,*,*,PASS,*,QUAL,178.000000,0.621258,0.698538,0.416697,0.657636,371871,231028,140843,543738,221551,95613,226574,908,90012,.,1.519032,.,1.813369,.,1.375183,.,2.445476,.,.,1.642988,1.488152,.,1.541775
INDEL,*,*,PASS,*,QUAL,179.000000,0.620452,0.698638,0.416414,0.657228,371871,230728,141143,542587,221221,95425,225941,907,89829,.,1.519032,.,1.812975,.,1.374842,.,2.447083,.,.,1.642731,1.487968,.,1.540985
INDEL,*,*,PASS,*,QUAL,180.000000,0.619675,0.698802,0.416098,0.656864,371871,230439,141432,541433,220922,95222,225289,905,89638,.,1.519032,.,1.813013,.,1.374351,.,2.446464,.,.,1.642445,1.488158,.,1.540325
INDEL,*,*,PASS,*,QUAL,181.000000,0.618954,0.698987,0.415784,0.65654,371871,230171,141700,540316,220643,95018,224655,903,89448,.,1.519032,.,1.813971,.,1.373503,.,2.446693,.,.,1.641586,1.487452,.,1.539129
INDEL,*,*,PASS,*,QUAL,182.000000,0.618177,0.699159,0.415516,0.656179,371871,229882,141989,539238,220358,94818,224062,902,89258,.,1.519032,.,1.815425,.,1.372413,.,2.447108,.,.,1.640879,1.486445,.,1.538556
INDEL,*,*,PASS,*,QUAL,183.000000,0.6174,0.699313,0.415233,0.655808,371871,229593,142278,538122,220057,94619,223446,899,89072,.,1.519032,.,1.817323,.,1.371136,.,2.446506,.,.,1.639842,1.485383,.,1.537517
INDEL,*,*,PASS,*,QUAL,184.000000,0.6167,0.699534,0.414874,0.655511,371871,229333,142538,536936,219776,94399,222761,899,88862,.,1.519032,.,1.819038,.,1.369975,.,2.446474,.,.,1.63924,1.484216,.,1.537478
INDEL,*,*,PASS,*,QUAL,185.000000,0.615956,0.699719,0.414573,0.655171,371871,229056,142815,535865,219509,94201,222155,898,88669,.,1.519032,.,1.821852,.,1.368326,.,2.446763,.,.,1.638183,1.482761,.,1.536622
INDEL,*,*,PASS,*,QUAL,186.000000,0.615332,0.699933,0.414202,0.654911,371871,228824,143047,534724,219247,93993,221484,897,88467,.,1.519032,.,1.823934,.,1.367048,.,2.446627,.,.,1.637327,1.481361,.,1.536264
INDEL,*,*,PASS,*,QUAL,187.000000,0.614659,0.70013,0.413889,0.654617,371871,228574,143297,533708,219009,93803,220896,896,88282,.,1.519032,.,1.826536,.,1.365531,.,2.446611,.,.,1.636356,1.479956,.,1.535637
INDEL,*,*,PASS,*,QUAL,188.000000,0.613936,0.700383,0.413613,0.654317,371871,228305,143566,532599,218736,93573,220290,895,88057,.,1.519032,.,1.830344,.,1.363473,.,2.445561,.,.,1.634631,1.47778,.,1.53444
INDEL,*,*,PASS,*,QUAL,189.000000,0.613323,0.700579,0.413269,0.654054,371871,228077,143794,531576,218505,93387,219684,895,87878,.,1.519032,.,1.833142,.,1.361896,.,2.444274,.,.,1.633093,1.476159,.,1.53305
INDEL,*,*,PASS,*,QUAL,190.000000,0.612621,0.700787,0.413006,0.653745,371871,227816,144055,530551,218246,93184,219121,894,87683,.,1.519032,.,1.836054,.,1.360212,.,2.444319,.,.,1.631942,1.474292,.,1.532529
INDEL,*,*,PASS,*,QUAL,191.000000,0.611906,0.701014,0.412745,0.653436,371871,227550,144321,529482,217974,92967,218541,893,87474,.,1.519032,.,1.839601,.,1.358252,.,2.442232,.,.,1.629961,1.472203,.,1.530878
